vol_num,keystrokes
0,
1,
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,
15,
16,
17,
18,
19,
20,
21,
22,
23,
24,
25,
26,
27,
28,
29,
30,
31,
32,
33,
34,
35,
36,
37,
38,
39,
40,
41,
42,
43,
44,i
45, ca
46,b
47,=
48,[BACKSPACE][BACKSPACE]
49,b
50,t 
51,r
52,ea
53,f
54,=
55,d[BACKSPACE][BACKSPACE][BACKSPACE]
56,s
57,[BACKSPACE]d 
58,it
59,
60,
61,
62,
63,[CLOSE BRACE]
64,[CLOSE BRACE][CLOSE BRACE][CLOSE BRACE][CLOSE BRACE][CLOSE BRACE][CLOSE BRACE][CLOSE BRACE][CONTROL][CLOSE BRACE][CLOSE BRACE][CLOSE BRACE][CLOSE BRACE][CLOSE BRACE][CLOSE BRACE][CLOSE BRACE][CLOSE BRACE][CLOSE BRACE][CLOSE BRACE][CLOSE BRACE]
65,1[CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL]
66,[CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL]
67,[CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL]
68,[CONTROL]
69,
70,[CONTROL]
71,[BACKSPACE][BACKSPACE][BACKSPACE][BACKSPACE][BACKSPACE][BACKSPACE][BACKSPACE][BACKSPACE][BACKSPACE][BACKSPACE]
72,[BACKSPACE][BACKSPACE][BACKSPACE][BACKSPACE][BACKSPACE][BACKSPACE][BACKSPACE][BACKSPACE][BACKSPACE][BACKSPACE][BACKSPACE][BACKSPACE][BACKSPACE][BACKSPACE][BACKSPACE]
73,
74,
75,[CONTROL]
76,[CONTROL]
77,
78,
79,
80,
81,
82,
83,
84,
85,
86,
87,
88,
89,
90,[CONTROL]
91,[CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL][CONTROL]
92,[CONTROL]
93,
94,
95,
96,
97,
98,
99,
100,
101,
102,
103,
104,u
105,[BACKSPACE]
106,ibt 
107,[BACKSPACE][BACKSPACE][BACKSPACE]
108,br
109, [BACKSPACE]
110,[BACKSPACE][BACKSPACE]
111,n
112,r 
113,is
114,
115,[CONTROL]
116, so
117,ty
118,e
119,d
120, [CLOSE BRACE]0
121,[BACKSPACE]
122,û
123,
124,
125,
126,i
127,b
128,t
129,
130,
131,[CLOSE BRACE]
132,[CLOSE BRACE]1
133,[BACKSPACE][CLOSE BRACE]3
134,[BACKSPACE][CLOSE BRACE]
135,2[BACKSPACE]
136,[CLOSE BRACE]4
137,
138,[BACKSPACE]
139,[CLOSE BRACE]5
140, 
141,
142,
143,
