vol_num,question_num,keystrokes
1,[],
2,[],
3,[],
4,[],
5,[],
6,[],
7,[],
8,[],
9,[],
10,[],
11,[],
12,[],
13,[],
14,[],
15,[3],
16,[3],
17,[3],
18,[3],
19,[3],
20,[3],
21,[3],
22,[3],
23,[3],[CLOSE BRACE]i
24,[3],
25,[3],=
26,[3],[BACKSPACE][BACKSPACE]
27,[3],[CLOSE BRACE]ir
28,[3],;[BACKSPACE]
29,[3],[BACKSPACE]r
30,[3],[BACKSPACE]t
31,[3],þ
32,[3],s 
33,[3],bet
34,[3],ter 
35,[3],to 
36,[3],
37,[3],tak
38,[3],e man
39,[3],t c
40,[3],[BACKSPACE][BACKSPACE][BACKSPACE]y 
41,[3],class
42,[3],es a
43,[3],t firs
44,[3],t and 
45,[3],then 
46,[3],slo
47,[3],wly
48,[3], rea
49,[3],ch a p
50,[3],oint w
51,[3],here th
52,[3],e stud
53,[3],ents 
54,[3],start 
55,[3],to spe
56,[3],ciali
57,[3],ze in 
58,[3],one 
59,[3],sub
60,[3],j
61,[3],ec
62,[3],t .
63,[3],[BACKSPACE]
64,[3],[BACKSPACE]. [CLOSE BRACE]this 
65,[3],is be
66,[3],cause 
67,[3],our 
68,[3],so
69,[3],ciet
70,[3],y 
71,[3],tu
72,[3],[BACKSPACE][BACKSPACE]r
73,[3],uns 
74,[3],i
75,[3],n 
76,[3],
77,[3],d
78,[3],[BACKSPACE]di
79,[3],ffer
80,[3],ent s
81,[3],ec
82,[3],tors an
83,[3],dd t[BACKSPACE]
84,[3],[BACKSPACE][BACKSPACE] ther
85,[3],es 
86,[3],not 
87,[3],really 
88,[3],a jo
89,[3],v
90,[3],[BACKSPACE]b f
91,[],
92,[],
93,[],
94,[],
95,[],
96,[],
97,[],
98,[],
99,[0],
100,[0],
101,[0],
102,[0],
103,[0],
104,[0],
105,[0],[CLOSE BRACE]i th
106,[0],ihnk[BACKSPACE]
107,[0],[BACKSPACE][BACKSPACE]
108,[0],nk 
109,[0],
110,[0],
111,[0],it sho
112,[0],ul
113,[0],d  be 
114,[0],option
115,[0],sa[BACKSPACE][BACKSPACE]a
116,[0],l for
117,[0], studen
118,[0],ts beca
119,[0],use d
120,[0],[BACKSPACE]sti
121,[0],de=[BACKSPACE]
122,[0],[BACKSPACE][BACKSPACE][BACKSPACE]u
123,[0],den
124,[0],ts lear
125,[0],n dif
126,[0],ferent
127,[0],ly. 
128,[0],[CLOSE BRACE]some
129,[0], stude
130,[0],nts ma
131,[0], [BACKSPACE]y 
132,[0],like 
133,[0],readi
134,[0],ng the 
135,[0],text
136,[0],book 
137,[0],
138,[0],inste
139,[0],ad of
140,[0], l
141,[0],[BACKSPACE]heari
142,[0],ng the 
143,[0],pro
144,[0],fess
145,[0],ors lec
146,[0],tir
147,[0],e o[BACKSPACE][BACKSPACE]
148,[0],[BACKSPACE][BACKSPACE][BACKSPACE]o
149,[0],r[BACKSPACE][BACKSPACE]u
150,[0],re on 
151,[0],conten
152,[0],t they 
153,[0],have 
154,[0],a
155,[0],lrea
156,[0],[BACKSPACE][BACKSPACE][BACKSPACE][BACKSPACE][BACKSPACE]
157,[0],l[BACKSPACE]al
158,[0],ready
159,[0], read
160,[0],. 
161,[0],[CLOSE BRACE]
162,[0],[CLOSE BRACE][CLOSE BRACE][CLOSE BRACE][CLOSE BRACE][CLOSE BRACE][CLOSE BRACE][CLOSE BRACE][CLOSE BRACE][CLOSE BRACE][CLOSE BRACE][CLOSE BRACE][CLOSE BRACE][CLOSE BRACE]i
163,[0],[BACKSPACE][CLOSE BRACE]
