vol_num,question_num,keystrokes
1,[],[]
2,[],[]
3,[],[]
4,[],[]
5,[],[]
6,[],[]
7,[],[]
8,[],[]
9,[],[]
10,[],[]
11,[],[]
12,[],[]
13,[],[]
14,[],[]
15,[],[]
16,[4],[]
17,[4],[]
18,[4],[]
19,[4],[]
20,[4],[]
21,[4],[]
22,[4],[]
23,[4],[]
24,[4],[]
25,[4],[]
26,[4],[]
27,[4],[]
28,[4],[]
29,[4],[]
30,[4],[]
31,[4],[]
32,[4],['f']
33,[4],['<K:BS>']
34,[4],[]
35,[4],[]
36,[4],[]
37,[4],[]
38,[4],[]
39,[4],[]
40,[4],['s']
41,[4],[]
42,[4],[]
43,[4],['<K:BS>']
44,[4],[]
45,[4],[]
46,[4],['f']
47,[4],['<K:BS>']
48,[4],[]
49,[4],[]
50,[4],"['f', 'o']"
51,[4],['r']
52,[4],[]
53,[4],"[' ', '<K:S>']"
54,[4],"['9', 'o']"
55,[4],['=']
56,[4],"['i', '<K:BS x=3>']"
57,[4],['i']
58,[4],"['=', '\xad']"
59,[4],['<K:BS>']
60,[4],['9']
61,[4],"['<K:BS>', '\xad', '0']"
62,[4],"['<K:BS x=2>', '0']"
63,[4],['<K:BS>']
64,[4],['<K:BS>']
65,[4],['<K:BS>']
66,[4],['o']
67,[4],['<K:BS>']
68,[4],['0']
69,[4],['<K:BS x=2>']
70,[4],"['<K:S>', '0']"
71,[4],"['<K:S>', '<K:BS>']"
72,[4],"['<K:S>', '9']"
73,[4],['o']
74,[4],['<K:BS>']
75,[4],['i']
76,[4],['=']
77,[4],['0']
78,[4],[';']
79,[4],"[' ', 'i']"
80,[4],"['<K:S>', ',']"
81,[4],[]
82,[4],"[';', '<K:BS>']"
83,[4],['s']
84,[4],[]
85,[4],['/']
86,[4],"['<K:BS>', '.']"
87,[4],"[';', 'e']"
88,[4],['<K:BS x=2>']
89,[4],"['l', 'e']"
90,[4],"['n', 'f']"
91,[4],"['<K:BS>', 'f']"
92,[],[]
93,[],[]
94,[],[]
95,[],[]
96,[5],[]
97,[5],[]
98,[5],[]
99,[5],[]
100,[5],[]
101,[5],[]
102,[5],[]
103,[5],[]
104,[5],[]
105,[5],[]
106,[5],[]
107,[5],[]
108,[5],[]
109,[5],[]
110,[5],[]
111,[5],[]
112,[5],[]
113,[5],[]
114,[5],[]
115,[5],[]
116,[5],[]
117,[5],[]
118,[5],[]
119,[5],[]
120,[5],[]
121,[5],[]
122,[5],[]
123,[5],[]
124,[5],[]
125,[5],"['w', 'h']"
126,[5],"['i', 'l']"
127,[5],['e']
128,[5],[]
129,[5],[]
130,[5],"['<K:S>', '9']"
131,[5],['t']
132,[5],[]
133,[5],"[' ', '<K:S>']"
134,[5],"[',']"
135,[5],['<K:BS>']
136,[5],"['<K:S>', '<K:BS>', 'o']"
137,[5],"['t', 'a']"
138,[5],"['l', ' ', '<K:S>', ',']"
139,[5],[]
140,[5],"['=', ' ']"
141,[5],"['1', '0', '0', '<K:S>', '\xad']"
142,[5],"['<K:BS>', '<K:S>', '0']"
143,[5],"[' ', '<K:S>']"
144,[5],"['[', '\r']"
145,[5],[]
146,[5],[]
147,[5],[]
148,[5],[]
149,[5],[]
150,[5],[]
151,[5],[]
152,[5],[]
153,[5],[]
154,[5],[]
155,[5],[]
156,[5],[]
157,[5],[]
158,[5],[]
159,[5],[]
160,[5],[]
161,[5],[]
162,[5],[]
163,[5],[]
164,[5],[]
165,[5],[]
166,[5],[]
167,[5],[]
168,[5],[]
169,[5],[]
170,[5],[]
171,[5],[]
172,[],[]
173,[],[]
